"filename", "language", "C++", "C", "Ini", "comment", "blank", "total"
"c:\Users\DBDVU0X\DYN-Vehicle-Firmware\MCU\MCU_FW\lib\apps_driver\apps_driver.c", "C", 0, 59, 0, 1, 9, 69
"c:\Users\DBDVU0X\DYN-Vehicle-Firmware\MCU\MCU_FW\lib\apps_driver\apps_driver.h", "C++", 14, 0, 0, 1, 6, 21
"c:\Users\DBDVU0X\DYN-Vehicle-Firmware\MCU\MCU_FW\lib\brake_driver\brake_driver.c", "C", 0, 32, 0, 1, 7, 40
"c:\Users\DBDVU0X\DYN-Vehicle-Firmware\MCU\MCU_FW\lib\brake_driver\brake_driver.h", "C++", 11, 0, 0, 0, 4, 15
"c:\Users\DBDVU0X\DYN-Vehicle-Firmware\MCU\MCU_FW\lib\can_car_driver\can_car_driver.c", "C", 0, 18, 0, 2, 6, 26
"c:\Users\DBDVU0X\DYN-Vehicle-Firmware\MCU\MCU_FW\lib\can_car_driver\can_car_driver.h", "C++", 29, 0, 0, 0, 6, 35
"c:\Users\DBDVU0X\DYN-Vehicle-Firmware\MCU\MCU_FW\lib\control_algorithms\launch_ctrl.c", "C", 0, 20, 0, 5, 7, 32
"c:\Users\DBDVU0X\DYN-Vehicle-Firmware\MCU\MCU_FW\lib\control_algorithms\launch_ctrl.h", "C++", 11, 0, 0, 0, 5, 16
"c:\Users\DBDVU0X\DYN-Vehicle-Firmware\MCU\MCU_FW\lib\control_algorithms\r2d_manager.c", "C", 0, 42, 0, 3, 6, 51
"c:\Users\DBDVU0X\DYN-Vehicle-Firmware\MCU\MCU_FW\lib\control_algorithms\r2d_manager.h", "C++", 19, 0, 0, 0, 5, 24
"c:\Users\DBDVU0X\DYN-Vehicle-Firmware\MCU\MCU_FW\lib\control_algorithms\torque_ctrl.c", "C", 0, 21, 0, 3, 10, 34
"c:\Users\DBDVU0X\DYN-Vehicle-Firmware\MCU\MCU_FW\lib\control_algorithms\torque_ctrl.h", "C++", 11, 0, 0, 0, 4, 15
"c:\Users\DBDVU0X\DYN-Vehicle-Firmware\MCU\MCU_FW\lib\ipc_manager\ipc_manager.c", "C", 0, 15, 0, 0, 5, 20
"c:\Users\DBDVU0X\DYN-Vehicle-Firmware\MCU\MCU_FW\lib\ipc_manager\ipc_manager.h", "C++", 17, 0, 0, 0, 5, 22
"c:\Users\DBDVU0X\DYN-Vehicle-Firmware\MCU\MCU_FW\lib\shared_state\shared_state.c", "C", 0, 23, 0, 0, 5, 28
"c:\Users\DBDVU0X\DYN-Vehicle-Firmware\MCU\MCU_FW\lib\shared_state\shared_state.h", "C++", 19, 0, 0, 0, 5, 24
"c:\Users\DBDVU0X\DYN-Vehicle-Firmware\MCU\MCU_FW\lib\utils\math_utils.c", "C", 0, 10, 0, 0, 3, 13
"c:\Users\DBDVU0X\DYN-Vehicle-Firmware\MCU\MCU_FW\lib\utils\math_utils.h", "C++", 10, 0, 0, 0, 4, 14
"c:\Users\DBDVU0X\DYN-Vehicle-Firmware\MCU\MCU_FW\platformio.ini", "Ini", 0, 0, 13, 0, 2, 15
"c:\Users\DBDVU0X\DYN-Vehicle-Firmware\MCU\MCU_FW\src\app.cpp", "C++", 61, 0, 0, 6, 18, 85
"c:\Users\DBDVU0X\DYN-Vehicle-Firmware\MCU\MCU_FW\src\app.h", "C++", 9, 0, 0, 0, 4, 13
"c:\Users\DBDVU0X\DYN-Vehicle-Firmware\MCU\MCU_FW\src\main.cpp", "C++", 5, 0, 0, 0, 2, 7
"c:\Users\DBDVU0X\DYN-Vehicle-Firmware\MCU\MCU_FW\test\test_main.cpp", "C++", 23, 0, 0, 0, 5, 28
"c:\Users\DBDVU0X\DYN-Vehicle-Firmware\PDM\PDM_FW\include\pdm_config.h", "C++", -11, 0, 0, -2, -3, -16
